"scale","query","explain_execution_ms","explain_psql_time_ms","warmup_ms","repeats_ms","median_ms"
"100k","recent_comments","0.095","0.682","1.735, 0.498, 0.743","0.5, 0.431, 0.391, 0.385, 0.547","0.431"
"100k","recent_liked_comments","0.215","0.882","0.903, 0.767, 0.75","0.753, 0.671, 0.645, 0.688, 0.656","0.671"
"100k","recent_article_views","0.19","0.742","0.937, 0.573, 0.536","0.839, 0.639, 0.711, 0.5, 0.645","0.645"
"100k","subscribed_interests_main","5.776","6.336","3.896, 3.582, 3.624","4.318, 3.504, 3.875, 3.432, 3.474","3.504"
"100k","subscribed_interests_keywords","0.252","0.646","1.114, 0.596, 0.477","0.472, 0.49, 0.456, 0.621, 0.519","0.49"
"100k","subscribed_interests_total","","","","4.79, 3.994, 4.331, 4.053, 3.993","4.053"
"10m","recent_comments","0.105","0.654","1.913, 0.446, 0.414","0.49, 0.476, 0.519, 0.391, 0.389","0.476"
"10m","recent_liked_comments","0.169","0.872","1.057, 0.809, 0.754","0.684, 0.832, 0.679, 0.654, 0.717","0.684"
"10m","recent_article_views","0.113","0.57","0.677, 0.537, 0.499","0.477, 0.599, 0.525, 0.493, 0.622","0.525"
"10m","subscribed_interests_main","0.65","1.029","1.302, 0.955, 0.96","0.981, 0.923, 1.016, 0.922, 0.895","0.923"
"10m","subscribed_interests_keywords","0.065","0.269","0.435, 0.355, 0.291","0.373, 0.305, 0.267, 0.294, 0.499","0.305"
"10m","subscribed_interests_total","","","","1.354, 1.228, 1.283, 1.216, 1.394","1.283"
"1m","recent_comments","0.088","0.599","2.221, 0.527, 0.506","0.415, 0.423, 0.389, 0.424, 0.468","0.423"
"1m","recent_liked_comments","0.138","0.935","1.254, 0.929, 0.787","0.902, 0.735, 0.77, 0.836, 0.804","0.804"
"1m","recent_article_views","0.111","0.633","0.769, 0.49, 0.598","0.607, 0.472, 0.591, 0.539, 0.463","0.539"
"1m","subscribed_interests_main","1.187","1.59","1.822, 1.203, 1.148","1.25, 1.483, 1.144, 1.199, 1.163","1.199"
"1m","subscribed_interests_keywords","0.059","0.328","0.464, 0.267, 0.319","0.331, 0.389, 0.361, 0.301, 0.297","0.331"
"1m","subscribed_interests_total","","","","1.581, 1.872, 1.505, 1.5, 1.46","1.505"
